order_item_id,reason,status,refund_amount,restocking_fee,created_at
1,Too small,refunded,348.62,38.74,2026-02-20 14:00:00
16,Wrong color,initiated,679.88,75.54,2025-06-08 23:48:00
27,Arrived damaged,initiated,171.75,19.08,2026-01-19 14:47:00
185,Duplicate order,denied,298.7,33.19,2025-10-08 15:02:00
329,Changed my mind,initiated,78.68,8.74,2026-03-09 23:58:00
344,Changed my mind,refunded,38.66,4.3,2025-03-21 01:04:00
394,Not satisfied,initiated,226.61,25.18,2025-05-28 23:01:00
414,Too small,denied,111.85,12.43,2025-04-16 07:54:00
415,Defective item,denied,116.15,12.91,2025-04-17 07:54:00
584,Too small,denied,13.29,1.48,2025-09-13 02:25:00
779,Not satisfied,refunded,303.18,33.69,2025-12-07 10:22:00
807,Defective item,initiated,31.55,3.51,2025-03-18 20:57:00
836,Wrong color,denied,27.41,3.04,2025-07-26 19:43:00
926,Wrong color,refunded,408.13,45.35,2025-04-19 17:34:00
975,Too large,denied,109.65,12.18,2026-01-05 08:05:00
977,Too small,denied,28.57,3.17,2025-08-17 04:11:00
1027,Duplicate order,refunded,203.61,22.62,2025-11-14 13:04:00
1144,Changed my mind,denied,24.86,2.76,2025-12-25 07:58:00
1292,Defective item,initiated,48.37,5.37,2025-06-28 02:55:00
1318,Duplicate order,initiated,122.8,13.64,2026-02-17 14:38:00
1366,Arrived damaged,refunded,349.65,38.85,2025-03-09 07:26:00
1411,Better price found,refunded,65.56,7.28,2025-01-25 02:48:00
1506,Duplicate order,denied,338.31,37.59,2025-10-07 12:36:00
1663,Duplicate order,initiated,171.9,19.1,2025-08-01 13:41:00
1671,Wrong color,denied,231.58,25.73,2025-11-27 15:18:00
1696,Better price found,refunded,7.84,0.87,2026-02-22 21:17:00
1734,Defective item,denied,94.64,10.52,2025-07-22 10:14:00
1742,Too large,denied,83.9,9.32,2025-07-20 18:56:00
1809,Changed my mind,refunded,414.37,46.04,2026-02-18 04:08:00
1815,Arrived damaged,initiated,28.93,3.21,2025-02-07 04:06:00
1910,Duplicate order,denied,47.98,5.33,2026-03-04 06:18:00
2073,Too large,initiated,78.45,8.72,2025-11-30 03:32:00
2080,Defective item,initiated,63.83,7.09,2025-10-11 03:11:00
2099,Changed my mind,denied,122.72,13.63,2025-10-19 13:45:00
2183,Too large,refunded,45.97,5.11,2026-01-30 05:13:00
2267,Duplicate order,refunded,68.52,7.61,2025-10-26 05:57:00
2413,Arrived damaged,denied,110.41,12.27,2025-09-21 07:18:00
2419,Defective item,initiated,47.0,5.22,2025-02-25 10:47:00
2442,Duplicate order,refunded,311.53,34.61,2025-11-28 02:36:00
2456,Not as described,denied,55.86,6.21,2025-07-21 06:48:00
2501,Not as described,denied,530.85,58.98,2025-08-09 12:33:00
2563,Duplicate order,initiated,14.65,1.63,2025-02-11 20:43:00
2624,Too small,initiated,77.89,8.66,2025-12-26 10:45:00
2647,Not satisfied,denied,67.52,7.5,2025-03-16 07:12:00
2759,Arrived damaged,refunded,36.56,4.06,2025-10-06 16:07:00
2843,Changed my mind,initiated,77.12,8.57,2025-04-29 04:04:00
2894,Better price found,denied,47.92,5.32,2025-04-04 16:24:00
3059,Too large,refunded,72.43,8.05,2025-10-04 02:20:00
3098,Better price found,initiated,23.76,2.64,2025-11-26 17:19:00
3147,Duplicate order,refunded,337.01,37.45,2026-02-06 22:49:00
3149,Wrong color,refunded,92.56,10.28,2026-02-19 22:49:00
3152,Not as described,refunded,84.84,9.43,2025-03-04 06:52:00
3202,Duplicate order,initiated,415.74,46.19,2025-03-28 08:02:00
3233,Arrived damaged,initiated,57.24,6.36,2025-03-16 23:11:00
3303,Arrived damaged,denied,223.06,24.78,2025-12-18 03:19:00
3425,Not satisfied,initiated,25.36,2.82,2025-05-10 03:50:00
3648,Better price found,initiated,138.32,15.37,2025-04-26 05:56:00
3711,Not as described,initiated,101.16,11.24,2026-02-21 10:06:00
3777,Arrived damaged,initiated,31.78,3.53,2025-12-28 19:54:00
3860,Changed my mind,denied,238.92,26.55,2026-03-05 00:09:00
4004,Changed my mind,denied,143.46,15.94,2026-02-19 08:17:00
4019,Duplicate order,initiated,432.49,48.05,2026-02-13 06:53:00
4151,Wrong color,initiated,12.33,1.37,2025-11-21 03:26:00
4282,Wrong color,initiated,38.79,4.31,2025-10-06 09:15:00
4382,Too small,initiated,27.3,3.03,2025-07-07 11:11:00
4533,Too large,refunded,28.14,3.13,2025-06-09 11:55:00
4537,Better price found,refunded,261.06,29.01,2025-03-16 20:32:00
4565,Not as described,denied,69.0,7.67,2025-07-06 01:10:00
